"","V1","V2"
"1076","erratic values","erratic values"
"1077","fi temp","fi temperature"
"1078","gas delta","gas delta"
"1079","gas fuel","gas fuel"
"1080","generator rotor","generator rotor"
"1081","hpt control","hpt control"
"1082","lp recirc","lp recirc"
"1083","mechanical alias","mechanical alias"
"1084","mt cv","motor cv"
"1085","oil outlet","oil outlet"
"1086","persists condition","persist condition"
"1087","seal inlet","seal inlet"
"1088","stator winding","stator wind"
"1089","temp continues","temperature continues"
"1090","tracking lower","track lower"
"1091","vib sensor","vibration sensor"
"1092","air filter","air filter"
"1093","attemp spray","attemperator spray"
"1094","brg axial","bearing axial"
"1095","circ water","circ water"
"1096","cooler oil","cooler oil"
"1097","dsh outlet","dsh outlet"
"1098","generator speed","generator speed"
"1099","hydraulic oil","hydraulic oil"
"1100","inner seal","inner seal"
"1101","outer temp","outer temperature"
"1102","pretty accurately","pretty accurately"
"1103","smart signal","smart signal"
"1104","steam cat","steam cat"
"1105","temperature dropped","temperature dropped"
"1106","temperature tags","temperature tag"
"1107","track erratically","track erratic"
"1108","tracking pretty","track pretty"
"1109","alias compressor","alias compressor"
"1110","coal air","coal air"
"1111","combustor performance","combustor performance"
"1112","cw waterbox","cw waterbox"
"1113","diff pressure","difference pressure"
"1114","erratic readings","erratic read"
"1115","filter pressure","filter pressure"
"1116","generator de","generator de"
"1117","generator stator","generator stator"
"1118","inactive metal","inactive metal"
"1119","ph reading","ph read"
"1120","reading stepped","read step"
"1121","steam outlet","steam outlet"
"1122","temp cv","temperature cv"
"1123","temp tag","temperature tag"
"1124","turb thrust","turbine thrust"
"1125","bearing tunnel","bearing tunnel"
"1126","bleed valve","bleed valve"
"1127","boiler water","boiler water"
"1128","compressor speed","compressor speed"
"1129","continues condition","continues condition"
"1130","cooler water","cooler water"
"1131","cv position","cv position"
"1132","desuperheater outlet","desuperheater outlet"
"1133","drum boiler","drum boiler"
"1134","gas dp","gas dp"
"1135","gb driver","gb driver"
"1136","ip hrsg","ip hrsg"
"1137","jacket inlet","jacket inlet"
"1138","load decreased","load decrease"
"1139","position decreased","position decrease"
"1140","residual thresholds","residual threshold"
"1141","seal filter","seal filter"
"1142","sh steam","sh steam"
"1143","st bearing","st bearing"
"1144","temp mt","temperature motor"
"1145","temperature increases","temperature increase"
"1146","vibration readings","vibration read"
"1147","vlv dmd","valve dmd"
"1148","adaptation combustion","adaptation combustion"
"1149","adaptation mech","adaptation mechanical"
"1150","axial displacement","axial displacement"
"1151","booster pump","booster pump"
"1152","combustion perf","combustion performance"
"1153","compressor bearing","compressor bearing"
"1154","de journal","de journal"
"1155","disch press","discharge pressure"
"1156","feedwater valve","feedwater valve"
"1157","fw cv","fw cv"
"1158","hp blowdown","hp blowdown"
"1159","hrsg gas","hrsg gas"
"1160","intercooler coolant","intercooler coolant"
"1161","lo pressure","lo pressure"
"1162","lo temperature","lo temperature"
"1163","lp condenser","lp condensate"
"1164","mech model","mechanical model"
"1165","model hp","model hp"
"1166","motor de","motor de"
"1167","power turbine","power turbine"
"1168","pump axial","pump axial"
"1169","reading nans","read nan"
"1170","seal dp","seal dp"
"1171","seal pressure","seal pressure"
"1172","sensor repaired","sensor repair"
"1173","siemens tower","siemens tower"
"1174","temp increase","temperature increase"
"1175","temperature spiked","temperature spike"
"1176","thrust positions","thrust position"
"1177","turb lo","turbine lo"
"1178","unit restarted","unit restart"
"1179","valve diff","valve difference"
"1180","wheelspace temperature","wheelspace temperature"
"1181","adaptation wheelspace","adaptation wheelspace"
"1182","axial positions","axial position"
"1183","brg fr","bearing fr"
"1184","compressor efficiency","compressor efficiency"
"1185","cp nde","cp nde"
"1186","current reading","current read"
"1187","desup spray","desuperheater spray"
"1188","drum wtr","drum water"
"1189","duct firing","duct firing"
"1190","fan vibrations","fan vibration"
"1191","flatlined data","flatline data"
"1192","fw htr","fw htr"
"1193","gas turbine","gas turbine"
"1194","gg velocity","gg velocity"
"1195","gt load","gt load"
"1196","inlet duct","inlet duct"
"1197","inlet steam","inlet steam"
"1198","low alarm","low alarm"
"1199","motor outboard","motor outboard"
"1200","motor temp","motor temperature"
"1201","ph decreased","ph decrease"
"1202","pi pv","pi pv"
"1203","press range","pressure range"
"1204","pressure spiked","pressure spike"
"1205","pressure tag","pressure tag"
"1206","shaft radial","shaft radial"
"1207","shaft vibration","shaft vibration"
"1208","temperature continues","temperature continues"
"1209","temperature increase","temperature increase"
"1210","tracking accurately","track accurately"
"1211","turbine generator","turbine generator"
"1212","turbo expander","turbo expander"
"1213","valve servo","valve servo"
"1214","vibrations spiked","vibration spike"
"1215","acoustic sensor","acoustic sensor"
"1216","ah air","ah air"
"1217","axial pos","axial position"
"1218","current phase","current phase"
"1219","dp decreased","dp decrease"
"1220","driver thrust","driver thrust"
"1221","engine oil","engine oil"
"1222","erratic reading","erratic read"
"1223","feedwater flow","feedwater flow"
"1224","generator nde","generator nde"
"1225","hp desup","hp desuperheater"
"1226","hp feedwater","hp feedwater"
"1227","hp vib","hp vibration"
"1228","hydrogen gas","hydrogen gas"
"1229","intermittently reading","intermittent read"
"1230","motor vibrations","motor vibration"
"1231","mtl temps","metal temperature"
"1232","reading values","read values"
"1233","sat sh","sat sh"
"1234","spray water","spray water"
"1235","spread cv","spread cv"
"1236","st load","st load"
"1237","stack inlet","stack inlet"
"1238","temperature reading","temperature read"
"1239","valve positions","valve position"
"1240","vibration stepped","vibration step"
"1241","vibrations trending","vibration trend"
"1242","wind turbines","wind turbine"
"1243","air heater","air heater"
"1244","alias hrsg","alias hrsg"
"1245","alternator bearing","alternator bearing"
"1246","bearing inactive","bearing inactive"
"1247","bfp discharge","bfp discharge"
"1248","combustion monitor","combustion monitor"
"1249","cooler discharge","cooler discharge"
"1250","desup outlet","desuperheater outlet"
"1251","driver load","driver load"
"1252","fan motor","fan motor"
"1253","gas differential","gas differential"
"1254","gas valve","gas valve"
"1255","gen lo","generator lo"
"1256","gt nox","gt nox"
"1257","hp discharge","hp discharge"
"1258","hp superheater","hp superheater"
"1259","igv position","igv position"
"1260","inho inho","inho inho"
"1261","inlet temps","inlet temperature"
"1262","mech alias","mechanical alias"
"1263","model combustion","model combustion"
"1264","ph sample","ph sample"
"1265","pressure transmitter","pressure transmitter"
"1266","pump motor","pump motor"
"1267","pump seal","pump seal"
"1268","pump speed","pump speed"
"1269","rd stg","rd stage"
"1270","rh dsh","rh dsh"
"1271","rotor speed","rotor speed"
"1272","shaft vibrations","shaft vibration"
"1273","superheater outlet","superheater outlet"
"1274","temp gen","temperature generator"
"1275","temp increasing","temperature increase"
"1276","temp wheelspace","temperature wheelspace"
"1277","thrust axial","thrust axial"
"1278","trained faulted","train faulted"
"1279","trend upward","trend upward"
"1280","tunnel temperature","tunnel temperature"
"1281","vibration brg","vibration bearing"
"1282","vibration spiked","vibration spike"
"1283","vibration spikes","vibration spike"
"1284","wheelspace performance","wheelspace performance"
"1285","alarm monitoring","alarm monitor"
"1286","alias exhaust","alias exhaust"
"1287","bank cylinder","bank cylinder"
"1288","bearing vibe","bearing vibe"
"1289","brg vibrations","bearing vibration"
"1290","chiller cooling","chiller cooling"
"1291","condensate sodium","condensate sodium"
"1292","cooler fan","cooler fan"
"1293","coupling casing","coupling casing"
"1294","cp de","cp de"
"1295","drum silica","drum silica"
"1296","drum steam","drum steam"
"1297","flow dropped","flow dropped"
"1298","flow stepped","flow step"
"1299","gen temp","generator temperature"
"1300","gt exhaust","gt exhaust"
"1301","hp sat","hp sat"
"1302","hpt cv","hpt cv"
"1303","intercooler outlet","intercooler outlet"
"1304","lo filter","lo filter"
"1305","load increase","load increase"
"1306","lp fw","lp fw"
"1307","mechanical model","mechanical model"
"1308","motor inboard","motor inboard"
"1309","outboard vib","outboard vibration"
"1310","pump outboard","pump outboard"
"1311","seal vent","seal vent"
"1312","sensor turb","sensor turbine"
"1313","steam spec","steam spec"
"1314","suction scrubber","suction scrubber"
"1315","temp cold","temperature cold"
"1316","temp differential","temperature differential"
"1317","temp sensor","temperature sensor"
"1318","temperature issues","temperature issue"
"1319","temperature stepped","temperature step"
"1320","temperature tracks","temperature track"
"1321","th startup","th startup"
"1322","tia pv","tia pv"
"1323","valve command","valve command"
"1324","vent flow","vent flow"
"1325","vib seis","vibration seismic"
"1326","adapted data","adaptation data"
"1327","average exhaust","average exhaust"
"1328","axial shaft","axial shaft"
"1329","bfp recirc","bfp recirc"
"1330","brg drain","bearing drain"
"1331","charge air","charge air"
"1332","cleared geip","cleared geip"
"1333","condenser pressure","condensate pressure"
"1334","consistently reading","consistently read"
"1335","consistently trending","consistently trend"
"1336","cooler temp","cooler temperature"
"1337","ctrl valve","control valve"
"1338","current conditions","current condition"
"1339","discharge pressures","discharge pressure"
"1340","drum differential","drum differential"
"1341","engine speed","engine speed"
"1342","exhaust duct","exhaust duct"
"1343","fr tt","fr tt"
"1344","fuel temperature","fuel temperature"
"1345","generator drive","generator drive"
"1346","heater drain","heater drain"
"1347","inbrd brg","inbrd bearing"
"1348","load dropped","load dropped"
"1349","low values","low values"
"1350","lp superheater","lp superheater"
"1351","mtr outboard","motor outboard"
"1352","pmp mtr","pump motor"
"1353","position shifted","position shifted"
"1354","posted itl","post itl"
"1355","pressure reading","pressure read"
"1356","pump disch","pump discharge"
"1357","read erratic","read erratic"
"1358","reporting data","reporting data"
"1359","sat steam","sat steam"
"1360","seal flow","seal flow"
"1361","stm temp","stm temperature"
"1362","suction discharge","suction discharge"
"1363","suction drum","suction drum"
"1364","tag flatlined","tag flatline"
"1365","temps track","temperature track"
"1366","turb ob","turbine ob"
"1367","unit lower","unit lower"
"1368","vibration issues","vibration issue"
"1369","vibration sensors","vibration sensor"
"1370","vibration transducer","vibration transducer"
"1371","vibrations stepped","vibration step"
"1372","water inlet","water inlet"
"1373","wheel motor","wheel motor"
"1374","alias wheel","alias wheel"
"1375","ao temperature","ao temperature"
"1376","bearing vibs","bearing vibration"
"1377","casing vibrations","casing vibration"
"1378","circ wtr","circ water"
"1379","conditions persist","condition persist"
"1380","control oil","control oil"
"1381","core monitor","core monitor"
"1382","current readings","current read"
"1383","current spread","current spread"
"1384","cv diff","cv difference"
"1385","data feed","data feed"
"1386","decreased bearing","decrease bearing"
"1387","discharge temps","discharge temperature"
"1388","dissolved oxygen","dissolved oxygen"
"1389","economizer outlet","economizer outlet"
"1390","engine charge","engine charge"
"1391","exhaust bearing","exhaust bearing"
"1392","exhibited erratic","exhibited erratic"
"1393","flow tag","flow tag"
"1394","gas concentration","gas concentration"
"1395","hp spray","hp spray"
"1396","inactive temp","inactive temperature"
"1397","inlet pressures","inlet pressure"
"1398","ip feedwater","ip feedwater"
"1399","ip rh","ip rh"
"1400","ip stm","ip stm"
"1401","load run","load run"
"1402","lp htr","lp htr"
"1403","lp turb","lp turbine"
"1404","mill current","mill current"
"1405","model bearing","model bearing"
"1406","model ip","model ip"
"1407","model lp","model lp"
"1408","motor vibration","motor vibration"
"1409","nde buffer","nde buffer"
"1410","nde inner","nde inner"
"1411","nde journal","nde journal"
"1412","notification bp","notification bp"
"1413","oil inlet","oil inlet"
"1414","op cond","op cond"
"1415","outlet steam","outlet steam"
"1416","pi data","pi data"
"1417","pos range","position range"
"1418","predicted issue","predicted issue"
"1419","press decreased","pressure decrease"
"1420","pressure continues","pressure continues"
"1421","radial vibrations","radial vibration"
"1422","rotor vib","rotor vibration"
"1423","rr notification","rr notification"
"1424","seal drain","seal drain"
"1425","shaft de","shaft de"
"1426","shaft nde","shaft nde"
"1427","start model","start model"
"1428","temp cyl","temperature cylinder"
"1429","temp decreases","temperature decrease"
"1430","temp tia","temperature tia"
"1431","temp tracking","temperature track"
"1432","turbine inlet","turbine inlet"
"1433","vib shaft","vibration shaft"
"1434","vibrations decreased","vibration decrease"
"1435","vibrations tracking","vibration track"
"1436","air collector","air collector"
"1437","ao temps","ao temperature"
"1438","asset performance","asset performance"
"1439","attemp outlet","attemperator outlet"
"1440","bfp disch","bfp discharge"
"1441","cep motor","cep motor"
"1442","chip detectors","chip detector"
"1443","compressor flow","compressor flow"
"1444","compressor mechanical","compressor mechanical"
"1445","condensate dissolved","condensate dissolved"
"1446","de temp","de temperature"
"1447","drum temp","drum temperature"
"1448","exciter bearing","exciter bearing"
"1449","exhaust press","exhaust pressure"
"1450","flow reading","flow read"
"1451","fw inlet","fw inlet"
"1452","fw lcv","fw lcv"
"1453","gas discharge","gas discharge"
"1454","generator journal","generator journal"
"1455","hp desuperheater","hp desuperheater"
"1456","hrsg rh","hrsg rh"
"1457","interstage temperature","interstage temperature"
"1458","low pressure","low pressure"
"1459","lp compressor","lp compressor"
"1460","lp econ","lp econ"
"1461","lp heater","lp heater"
"1462","lp separator","lp separator"
"1463","lp vib","lp vibration"
"1464","magnetic bearing","magnetic bearing"
"1465","mtr ob","motor ob"
"1466","nde temp","nde temperature"
"1467","nde vib","nde vibration"
"1468","packing dp","packing dp"
"1469","ph hp","ph hp"
"1470","phase winding","phase wind"
"1471","pi read","pi read"
"1472","pmp de","pump de"
"1473","position spiked","position spike"
"1474","position tag","position tag"
"1475","position tags","position tag"
"1476","pressure control","pressure control"
"1477","pump vibrations","pump vibration"
"1478","read pi","read pi"
"1479","reading correctly","read correct"
"1480","rear gear","rear gear"
"1481","remained flatlined","remained flatline"
"1482","sp htr","sp htr"
"1483","srv valve","srv valve"
"1484","steam model","steam model"
"1485","stg brg","stage bearing"
"1486","stm spec","stm spec"
"1487","tag dates","tag dates"
"1488","temp control","temperature control"
"1489","temp hot","temperature hot"
"1490","temp tracked","temperature track"
"1491","temp trending","temperature trend"
"1492","vent pressure","vent pressure"
"1493","wtr spec","water spec"
"1494","air differential","air differential"
"1495","bearing journal","bearing journal"
"1496","brg vert","bearing vertical"
"1497","cooler inlet","cooler inlet"
"1498","cylinder bank","cylinder bank"
"1499","discharge dp","discharge dp"
"1500","drum cat","drum cat"
"1501","drum lvl","drum level"
"1502","electrical alias","electrical alias"
"1503","erratically ranging","erratic range"
"1504","fan speed","fan speed"
"1505","fi pv","fi pv"
"1506","flatline data","flatline data"
"1507","flow remained","flow remained"
"1508","fuel liquid","fuel liquid"
"1509","fuel temp","fuel temperature"
"1510","fw conductivity","fw conductivity"
"1511","gas generator","gas generator"
"1512","gas temps","gas temperature"
"1513","gen rotor","generator rotor"
"1514","gen turb","generator turbine"
"1515","gen winding","generator wind"
"1516","hottest rtd","hottest rtd"
"1517","hrsg fwpb","hrsg fwpb"
"1518","inboard vibration","inboard vibration"
"1519","increasing reaching","increase reaches"
"1520","ip sat","ip sat"
"1521","jacket water","jacket water"
"1522","load ramp","load ramp"
"1523","lp cooling","lp cooling"
"1524","lp economizer","lp economizer"
"1525","mill mtr","mill motor"
"1526","model projected","model projected"
"1527","motor temperature","motor temperature"
"1528","mt ssc","motor ssc"
"1529","nde generator","nde generator"
"1530","ongoing issue","ongoing issue"
"1531","outer leak","outer leak"
"1532","position demand","position demand"
"1533","press cv","pressure cv"
"1534","press xmtr","pressure xmtr"
"1535","pressure transducer","pressure transducer"
"1536","read values","read values"
"1537","reading consistently","read consistently"
"1538","short run","short run"
"1539","slight increase","slight increase"
"1540","slowly decreasing","slowly decrease"
"1541","st ctrl","st control"
"1542","steam conductivity","steam conductivity"
"1543","steam press","steam pressure"
"1544","stm drum","stm drum"
"1545","stm flow","stm flow"
"1546","suction water","suction water"
"1547","tag ims","tag ims"
"1548","temperature remained","temperature remained"
"1549","temperature tia","temperature tia"
"1550","temperature tracking","temperature track"
"1551","tracking poorly","track poor"
"1552","trending downward","trend downward"
"1553","trip occured","trip occured"
"1554","turbine cooling","turbine cooling"
"1555","unit load","unit load"
"1556","vert shaft","vertical shaft"
"1557","vibration spike","vibration spike"
"1558","water cv","water cv"
"1559","xq hrsg","xq hrsg"
"1560","adapted faulted","adaptation faulted"
"1561","agb chip","agb chip"
"1562","air compressor","air compressor"
"1563","alias ip","alias ip"
"1564","alias thrust","alias thrust"
"1565","barrel temp","barrel temperature"
"1566","bfp thrust","bfp thrust"
"1567","bp castellon","bp castellon"
"1568","brg vibs","bearing vibration"
"1569","cep mtr","cep motor"
"1570","combustion exhaust","combustion exhaust"
"1571","compressor interstage","compressor interstage"
"1572","compressor shaft","compressor shaft"
"1573","cond pmp","cond pump"
"1574","data model","data model"
"1575","data range","data range"
"1576","de vibration","de vibration"
"1577","demand position","demand position"
"1578","disch temp","discharge temperature"
"1579","dp continues","dp continues"
"1580","drum cv","drum cv"
"1581","elevated vibrations","elevated vibration"
"1582","erratically dropping","erratic dropped"
"1583","erratically spiking","erratic spike"
"1584","fan bearing","fan bearing"
"1585","fi cp","fi cp"
"1586","fo temperature","fo temperature"
"1587","fwpa pmp","fwpa pump"
"1588","gas mass","gas mass"
"1589","gt turbine","gt turbine"
"1590","gtdl vib","gtdl vibration"
"1591","hp compressor","hp compressor"
"1592","hydraulic control","hydraulic control"
"1593","hydrogen pressure","hydrogen pressure"
"1594","inactive mtl","inactive metal"
"1595","inlet valve","inlet valve"
"1596","inner barrel","inner barrel"
"1597","intensity detector","intensity detector"
"1598","intermittently dropping","intermittent dropped"
"1599","ip attemp","ip attemperator"
"1600","ip boiler","ip boiler"
"1601","ip desup","ip desuperheater"
"1602","ip economizer","ip economizer"
"1603","journal vibration","journal vibration"
"1604","lp sat","lp sat"
"1605","model cooling","model cooling"
"1606","model turbine","model turbine"
"1607","motor speed","motor speed"
"1608","mtr temp","motor temperature"
"1609","nde outer","nde outer"
"1610","oil pump","oil pump"
"1611","peak pressure","peak pressure"
"1612","pmp nde","pump nde"
"1613","position reading","position read"
"1614","purity decreased","purity decrease"
"1615","reliable data","reliable data"
"1616","residual threshold","residual threshold"
"1617","rh inlet","rh inlet"
"1618","rot vib","rot vibration"
"1619","rotor cooling","rotor cooling"
"1620","shaft bearing","shaft bearing"
"1621","shaft position","shaft position"
"1622","st brg","st bearing"
"1623","st generator","st generator"
"1624","teg duct","teg duct"
"1625","temp phase","temperature phase"
"1626","temp reading","temperature read"
"1627","temp tc","temperature thermocouple"
"1628","temp thrust","temperature thrust"
"1629","temp turbine","temperature turbine"
"1630","temperature core","temperature core"
"1631","temperature flatlined","temperature flatline"
"1632","temps tracking","temperature track"
"1633","track low","track low"
"1634","turbine inner","turbine inner"
"1635","upward trend","upward trend"
"1636","versus model","versus model"
"1637","vert vib","vertical vibration"
"1638","vert vibration","vertical vibration"
"1639","vertical vibrations","vertical vibration"
"1640","vib prox","vibration prox"
"1641","vibration bdm","vibration bdm"
"1642","vibration probes","vibration probe"
"1643","vlv diff","valve difference"
"1644","waterbox lp","waterbox lp"
"1645","wheelspace fi","wheelspace fi"
"1646","xq gen","xq generator"
"1647","bearing metal temp","bearing metal temperature"
"1648","brg mtl temp","bearing metal temperature"
"1649","bearing metal temperature","bearing metal temperature"
"1650","gen bearing temp","generator bearing temperature"
"1651","thrust bearing temperature","thrust bearing temperature"
"1652","generator bearing temperature","generator bearing temperature"
"1653","fuel delivery pressure","fuel delivery pressure"
"1654","thrust bearing temp","thrust bearing temperature"
"1655","inactive thrust bearing","inactive thrust bearing"
"1656","model performance tag","model performance tag"
"1657","lube oil pressure","lube oil pressure"
"1658","inlet bleed heat","inlet bleed heat"
"1659","issue persists issue","issue persist issue"
"1660","lube oil temperature","lube oil temperature"
"1661","control valve position","control valve position"
"1662","persists issue persists","persist issue persist"
"1663","oil filter dp","oil filter dp"
"1664","seal outlet flow","seal outlet flow"
"1665","brg metal temp","bearing metal temperature"
"1666","fuel gas flow","fuel gas flow"
"1667","lube oil filter","lube oil filter"
"1668","hp drum ph","hp drum ph"
"1669","motor stator temp","motor stator temperature"
"1670","lube oil cooler","lube oil cooler"
"1671","bleed heat valve","bleed heat valve"
"1672","rotor fan dp","rotor fan dp"
"1673","bearing oil drain","bearing oil drain"
"1674","gas control valve","gas control valve"
"1675","oil drain temp","oil drain temperature"
"1676","rear gen bearing","rear generator bearing"
"1677","compressor inlet pressure","compressor inlet pressure"
"1678","ib brg temp","ib bearing temperature"
"1679","bearing axial position","bearing axial position"
"1680","model mechanical tag","model mechanical tag"
"1681","rear strut pressure","rear strut pressure"
"1682","bearing temperature nde","bearing temperature nde"
"1683","hp drum fw","hp drum fw"
"1684","nde bearing temperature","nde bearing temperature"
"1685","ob brg temp","ob bearing temperature"
"1686","ob bearing temp","ob bearing temperature"
"1687","thrust bearing axial","thrust bearing axial"
"1688","fuel gas control","fuel gas control"
"1689","bearing metal temps","bearing metal temperature"
"1690","prefilter fuel pressure","prefilter fuel pressure"
"1691","de bearing temperature","de bearing temperature"
"1692","ip drum fw","ip drum fw"
"1693","nde seal outlet","nde seal outlet"
"1694","thrust brg temp","thrust bearing temperature"
"1695","ib bearing temp","ib bearing temperature"
"1696","duct burner spread","duct burner spread"
"1697","hrsg inlet gas","hrsg inlet gas"
"1698","de seal outlet","de seal outlet"
"1699","generator bearing metal","generator bearing metal"
"1700","generator bearing temp","generator bearing temperature"
"1701","lo temp bearing","lo temperature bearing"
"1702","gas outlet temp","gas outlet temperature"
"1703","ip drum ph","ip drum ph"
"1704","lp steam flow","lp steam flow"
"1705","motor ib bearing","motor ib bearing"
"1706","turbine temperature wheelspace","turbine temperature wheelspace"
"1707","duct burner fuel","duct burner fuel"
"1708","oil drain temperature","oil drain temperature"
"1709","spray valve position","spray valve position"
"1710","ip fw flow","ip fw flow"
"1711","model performance alias","model performance alias"
"1712","motor ib brg","motor ib bearing"
"1713","thrust bearing metal","thrust bearing metal"
"1714","thrust bearing position","thrust bearing position"
"1715","heating control valve","heat control valve"
"1716","bearing drain temp","bearing drain temperature"
"1717","hp fw flow","hp fw flow"
"1718","brg oil drain","bearing oil drain"
"1719","inlet heating control","inlet heat control"
"1720","lube oil temp","lube oil temperature"
"1721","ob brg vib","ob bearing vibration"
"1722","pressure steam alias","pressure steam alias"
"1723","compressor outlet temp","compressor outlet temperature"
"1724","flow valve position","flow valve position"
"1725","journal bearing temperature","journal bearing temperature"
"1726","motor ob brg","motor ob bearing"
"1727","temp bearing drain","temperature bearing drain"
"1728","axial position sensor","axial position sensor"
"1729","burner fuel gas","burner fuel gas"
"1730","core fuel delivery","core fuel delivery"
"1731","delivery pressure core","delivery pressure core"
"1732","drum fw lvl","drum fw level"
"1733","ib brg vib","ib bearing vibration"
"1734","inlet gas press","inlet gas pressure"
"1735","motor ob bearing","motor ob bearing"
"1736","pressure core fuel","pressure core fuel"
"1737","suction strainer dp","suction strainer dp"
"1738","duct burner outlet","duct burner outlet"
"1739","fw lvl ctrl","fw level control"
"1740","gear bearing temp","gear bearing temperature"
"1741","pressure steam tag","pressure steam tag"
"1742","drum fw flow","drum fw flow"
"1743","fwp lube oil","fw pump lube oil"
"1744","gt vibration sensor","gt vibration sensor"
"1745","ip blowdown silica","ip blowdown silica"
"1746","pump ib brg","pump ib bearing"
"1747","rotor fan differential","rotor fan differential"
"1748","turbine bearing vibrations","turbine bearing vibration"
"1749","inlet filter dp","inlet filter dp"
"1750","lp drum fw","lp drum fw"
"1751","lube oil tank","lube oil tank"
"1752","lvl ctrl vlv","level control valve"
"1753","nde brg vib","nde bearing vibration"
"1754","pump ob bearing","pump ob bearing"
"1755","estimate rear gen","estimate rear generator"
"1756","hp steam drum","hp steam drum"
"1757","model estimate rear","model estimate rear"
"1758","bearing temperature de","bearing temperature de"
"1759","control valve demand","control valve demand"
"1760","cooler outlet temperature","cooler outlet temperature"
"1761","fw pmp axial","fw pump axial"
"1762","hp attemperator spray","hp attemperator spray"
"1763","hp sh dsh","hp sh dsh"
"1764","hrsg drum spec","hrsg drum spec"
"1765","pmp axial probe","pump axial probe"
"1766","air delta press","air delta pressure"
"1767","alias fuel gas","alias fuel gas"
"1768","heat valve differential","heat valve differential"
"1769","model perf alias","model performance alias"
"1770","oil cooler outlet","oil cooler outlet"
"1771","steam alias hp","steam alias hp"
"1772","condition persists condition","condition persist condition"
"1773","de brg vib","de bearing vibration"
"1774","filter diff press","filter difference pressure"
"1775","gearbox oil temp","gearbox oil temperature"
"1776","motor winding temp","motor wind temperature"
"1777","attemperator spray flow","attemperator spray flow"
"1778","drain valve position","drain valve position"
"1779","exhaust temperature spread","exhaust temperature spread"
"1780","filter differential pressure","filter differential pressure"
"1781","generator rotor fan","generator rotor fan"
"1782","gg exhaust temp","gg exhaust temperature"
"1783","model combustor performance","model combustor performance"
"1784","model compressor performance","model compressor performance"
"1785","nde bearing temp","nde bearing temperature"
"1786","persists condition persists","persist condition persist"
"1787","pump ob brg","pump ob bearing"
"1788","recirc valve position","recirc valve position"
"1789","turb exh temp","turbine exhaust temperature"
"1790","attemperator outlet temperature","attemperator outlet temperature"
"1791","condition continues condition","condition continues condition"
"1792","cooler water flow","cooler water flow"
"1793","drum boiler water","drum boiler water"
"1794","fw flow valve","fw flow valve"
"1795","hp drum conductivity","hp drum conductivity"
"1796","hpt control valve","hpt control valve"
"1797","lp drum ph","lp drum ph"
"1798","model perf tag","model performance tag"
"1799","motor stator temperature","motor stator temperature"
"1800","tracking pretty accurately","track pretty accurately"
"1801","turbine bearing tunnel","turbine bearing tunnel"
"1802","water injection flow","water injection flow"
"1803","air filter dp","air filter dp"
"1804","continues condition continues","continues condition continues"
"1805","control valve differential","control valve differential"
"1806","drum sp cond","drum sp cond"
"1807","dsh outlet temperature","dsh outlet temperature"
"1808","fuel gas pressure","fuel gas pressure"
"1809","gen bearing metal","generator bearing metal"
"1810","motor winding temperature","motor wind temperature"
"1811","oil cooler oil","oil cooler oil"
"1812","outlet temp range","outlet temperature range"
"1813","seal gas filter","seal gas filter"
"1814","water jacket inlet","water jacket inlet"
"1815","attemp spray valve","attemperator spray valve"
"1816","exh gas temp","exhaust gas temperature"
"1817","hot air damper","hot air damper"
"1818","hrsg outlet temp","hrsg outlet temperature"
"1819","motor nde brg","motor nde bearing"
"1820","temp ti pv","temperature ti pv"
"1821","turb lo temp","turbine lo temperature"
"1822","turbine exhaust pressure","turbine exhaust pressure"
"1823","turbine thrust bearing","turbine thrust bearing"
"1824","antisurge valve position","antisurge valve position"
"1825","attemperator spray valve","attemperator spray valve"
"1826","cooler oil outlet","cooler oil outlet"
"1827","de journal bearing","de journal bearing"
"1828","exhaust gas temp","exhaust gas temperature"
"1829","fan ib brg","fan ib bearing"
"1830","gas delta press","gas delta pressure"
"1831","gas filter dp","gas filter dp"
"1832","gas inlet pressure","gas inlet pressure"
"1833","generator de bearing","generator de bearing"
"1834","hrsg ip drum","hrsg ip drum"
"1835","inlet air filter","inlet air filter"
"1836","intercooler coolant pressure","intercooler coolant pressure"
"1837","low speed shaft","low speed shaft"
"1838","model mechanical alias","model mechanical alias"
"1839","mt cv range","motor cv range"
"1840","oil drain temps","oil drain temperature"
"1841","pump discharge pressure","pump discharge pressure"
"1842","pump ib bearing","pump ib bearing"
"1843","temp mt cv","temperature motor cv"
"1844","turb thrust brg","turbine thrust bearing"
"1845","ah gas delta","ah gas delta"
"1846","bearing tunnel temperature","bearing tunnel temperature"
"1847","compressor inlet temperature","compressor inlet temperature"
"1848","compressor performance tag","compressor performance tag"
"1849","gas differential pressure","gas differential pressure"
"1850","gear oil temp","gear oil temperature"
"1851","gen lo temp","generator lo temperature"
"1852","thrust bearing temps","thrust bearing temperature"
"1853","thrust brg axial","thrust bearing axial"
"1854","trained faulted data","train faulted data"
"1855","brg vib seis","bearing vibration seismic"
"1856","chiller cooling tower","chiller cooling tower"
"1857","condition cleared closing","condition cleared close"
"1858","de bearing temp","de bearing temperature"
"1859","de seal dp","de seal dp"
"1860","drum fw valve","drum fw valve"
"1861","fan differential pressure","fan differential pressure"
"1862","fuel gas temperature","fuel gas temperature"
"1863","hp attemp spray","hp attemperator spray"
"1864","hp drum sp","hp drum sp"
"1865","ip drum conductivity","ip drum conductivity"
